config_id,project_version,routing_strategy,scheduler,time_step_s,offered_load_factor,deadline_factor,backhaul_factor,minimum_elevation_deg,rf_efficiency_factor,total_items,delivered_count,failed_count,deadline_met_items,deadline_missed_items,deadline_satisfaction_rate,critical_deadline_satisfaction_rate,delivery_ratio,average_end_to_end_latency_s,maximum_end_to_end_latency_s,contact_capacity_bits,transferred_bits,contact_utilization,selected_gs_sapporo_count,selected_gs_seoul_count,selected_gs_tokyo_count,failure_no_contact_count,failure_insufficient_capacity_count,failure_deadline_infeasible_count,failure_outside_simulation_horizon_count
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.0,1.5,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,403.4635293205499,434.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.0,1.5,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,403.4635293205499,434.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.25,0.75,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,435.37120240722,456.87635837317043,204543535.20601845,56000000.0,0.2737803467784802,2,0,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.25,0.75,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,433.99091548872485,456.87635837317043,204543535.20601845,56000000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.25,0.75,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,433.99091548872485,456.87635837317043,204543535.20601845,56000000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.25,1.0,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,435.37120240722,456.87635837317043,204543535.20601845,56000000.0,0.2737803467784802,2,0,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.25,1.0,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,433.99091548872485,456.87635837317043,204543535.20601845,56000000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.25,1.0,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,433.99091548872485,456.87635837317043,204543535.20601845,56000000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.25,1.5,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,435.37120240722,456.87635837317043,204543535.20601845,56000000.0,0.2737803467784802,2,0,1,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.25,1.5,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,433.99091548872485,456.87635837317043,204543535.20601845,56000000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.25,1.5,0.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,433.99091548872485,456.87635837317043,204543535.20601845,56000000.0,0.2737803467784802,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,0.75,0.75,1.5,10.0,1.25,4,4,0,3,1,0.75,1.0,1.0,1968.2018369909915,6229.91511211236,204543535.20601845,69600000.0,0.34026985956753963,0,2,2,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,0.75,0.75,1.5,10.0,1.25,4,4,0,3,1,0.75,1.0,1.0,1873.5748381394878,6229.91511211236,204543535.20601845,69600000.0,0.34026985956753963,0,1,3,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,0.75,0.75,1.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,421.46141348186376,452.35740943504777,204543535.20601845,33600000.0,0.1642682080670881,0,0,3,0,0,1,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,0.75,1.0,1.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1968.2018369909915,6229.91511211236,204543535.20601845,69600000.0,0.34026985956753963,0,2,2,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,0.75,1.0,1.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1873.5748381394878,6229.91511211236,204543535.20601845,69600000.0,0.34026985956753963,0,1,3,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,0.75,1.0,1.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1873.5748381394878,6229.91511211236,204543535.20601845,69600000.0,0.34026985956753963,0,1,3,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,0.75,1.5,1.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1968.2018369909915,6229.91511211236,204543535.20601845,69600000.0,0.34026985956753963,0,2,2,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,0.75,1.5,1.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1873.5748381394878,6229.91511211236,204543535.20601845,69600000.0,0.34026985956753963,0,1,3,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,0.75,1.5,1.5,10.0,1.25,4,4,0,4,0,1.0,1.0,1.0,1873.5748381394878,6229.91511211236,204543535.20601845,69600000.0,0.34026985956753963,0,1,3,0,0,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.0,0.75,1.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,452.7187385282034,479.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,3,0,0,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,earliest-arrival,edf,1.0,1.0,0.75,1.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,421.79686265388324,479.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,deadline-aware,edf,1.0,1.0,0.75,1.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,421.79686265388324,479.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,1,0,2,0,1,0,0
canonical-contact-plan-routing-v1.1,1.1.0,next-contact,edf,1.0,1.0,1.0,1.5,10.0,1.25,4,3,1,3,1,0.75,1.0,0.75,452.7187385282034,479.6992740136078,204543535.20601845,44800000.0,0.21902427742278413,3,0,0,0,1,0,0
